Card,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
1707,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
1708,3,2700,3,4,1,3.666666667,0.471404521,11,2,4,2,66.66670227,3,1,33.33330154,4,4
1723,4,3600,3,3,0,3,0,12,1,3,4,100,3,4,100,3,3
1724,4,3600,1,2,1,1.75,0.433012702,7,2,2,3,75,1,1,25,2,2
1738,2,1800,3,3,0,3,0,6,1,3,2,100,3,2,100,3,3
1739,3,2700,2,3,1,2.333333333,0.471404521,7,2,2,2,66.66670227,3,1,33.33330154,2,3
1754,3,2700,3,3,0,3,0,9,1,3,3,100,3,3,100,3,3
1757,4,3600,2,2,0,2,0,8,1,2,4,100,2,4,100,2,2
1759,4,3600,1,2,1,1.75,0.433012702,7,2,2,3,75,1,1,25,2,2
1760,4,3600,1,2,1,1.25,0.433012702,5,2,1,3,75,2,1,25,1,2
