Map Page Number,SampleSite_ID,Latitude,Longitude
32,1560,52.24807445,-123.3521123
32,1567,52.25869091,-123.4248882
32,1569,52.25803486,-123.3955577
32,1571,52.25737138,-123.3662281
32,1577,52.2669974,-123.3950178
32,1578,52.26666652,-123.3803498
32,1579,52.26633378,-123.3656821
32,1581,52.27661619,-123.4238204
32,1583,52.27595987,-123.3944777
32,1584,52.27529613,-123.3651359
32,1592,52.28557873,-123.4232861
32,1594,52.28358709,-123.3352426
32,1596,52.28290835,-123.3058965
32,1605,52.29254917,-123.3346899
32,1606,52.29221066,-123.3200137
32,1607,52.29187029,-123.3053378
32,1617,52.30382918,-123.4368977
32,1619,52.30083217,-123.3047787
32,1628,52.31279159,-123.4363658
32,1629,52.31180911,-123.392315
32,1630,52.31013448,-123.3189015
32,1643,52.32010685,-123.3624016
32,1644,52.31977186,-123.3477159
32,1645,52.31909629,-123.3183451
33,1573,52.25533638,-123.2782446
33,1580,52.26464226,-123.2923468
33,1587,52.27360426,-123.2917855
33,1598,52.28222218,-123.2765514
33,1601,52.28117899,-123.2325355
33,1608,52.29152807,-123.2906621
33,1609,52.29118398,-123.2759866
33,1620,52.30048987,-123.2901
33,1623,52.29945184,-123.2460652
33,1624,52.29839709,-123.2020325
33,1631,52.30945161,-123.2895377
33,1634,52.30771192,-123.2161323
33,1635,52.30735841,-123.2014519
33,1647,52.318069,-123.2742906
33,1648,52.31772285,-123.2596062
33,1649,52.31667325,-123.2155546
33,1651,52.31596422,-123.186188
34,1438,52.14345657,-123.4903141
34,1439,52.14313773,-123.4756872
34,1460,52.16074432,-123.4600105
34,1467,52.16938512,-123.4448496
34,1487,52.20458678,-123.4134393
34,1507,52.21420147,-123.4422044
35,1440,52.14118578,-123.3879303
35,1450,52.15047915,-123.4020189
35,1461,52.1594425,-123.4014817
35,1478,52.19496486,-123.3846869
35,1508,52.21255834,-123.3689544
36,1392,52.09966762,-124.6191345
37,1232,52.04296509,-123.8467637
37,1269,52.05193113,-123.8463195
37,1270,52.05165735,-123.8317209
37,1378,52.07882884,-123.8449859
38,1160,52.0242064,-123.8038834
38,1199,52.03344979,-123.8180228
38,1200,52.03317242,-123.8034306
38,1201,52.03175787,-123.7304726
38,1203,52.03117911,-123.7012907
38,1235,52.04213837,-123.8029776
38,1237,52.04129501,-123.7591932
38,1239,52.04072353,-123.7300045
38,1271,52.05138173,-123.8171226
38,1272,52.05110425,-123.8025244
38,1273,52.05082492,-123.7879264
38,1276,52.04968913,-123.7295363
38,1316,52.06007006,-123.802071
38,1317,52.05979068,-123.78747
38,1319,52.05922636,-123.7582686
38,1320,52.05894144,-123.7436681
38,1321,52.05865466,-123.7290679
