"","SampleSite_ID","BEC_Zone","BEC_Subzone","BEC_Variant","SPECIES_CD_1_1","SPECIES_PCT_1_1","SPECIES_CD_2_1","SPECIES_PCT_2_1","SPECIES_CD_3_1","SPECIES_PCT_3_1","SPECIES_CD_4_1","SPECIES_PCT_4_1","PLI_percent_pre","FDI_percent_pre","SX_percent_pre","AT_percent_pre","Species_pre","Year","Dominant_pre","LeadingSpecies_pre","LeadingPercent_pre","SecondSpecies_pre","SecondPercent_pre","ThirdSpecies_pre","ThirdPercent_pre","FourthSpecies_pre","FourthPercent_pre","SpeciesAll","PLI_percent","FDI_percent","SX_percent","AT_percent","Species","LeadingSpecies","Dominant","LeadingPercent","SecondSpecies","SecondPercent","ThirdSpecies","ThirdPercent","FourthSpecies","FourthPercent"
"404","347","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"405","348","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"406","349","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"407","395","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"408","396","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"409","397","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"410","1199","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"411","1237","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"412","1201","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
"413","1239","SBPS","xc",NA,"PLI",100,"",NA,"",NA,"",NA,100,0,0,0," PLI",2024,"PLI","PLI",100,NA,NA,NA,NA,NA,NA,"PLI",100,0,0,0," PLI","PLI","PLI",100,NA,NA,NA,NA,NA,NA
